Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,63,KAN,Creed Humphrey,OL,22,2023,0,2,2,30,30,51,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,College Stats,HumpCr00
2,64,TAM,Kyle Trask,QB,23,2023,0,0,0,0,0,3,3,10,23,0,0,1,-1,0,0,0,0,,,,Florida,College Stats,TrasKy00
3,65,JAX,Andre Cisco,DB,21,2023,0,0,1,15,15,47,0,0,0,0,0,0,0,0,0,0,0,110,7,1.5,Syracuse,College Stats,CiscAn00
3,66,MIN,Kellen Mond,QB,22,2021,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MondKe00
3,67,HOU,Davis Mills,QB,22,2023,0,0,2,15,15,34,573,912,5955,35,25,52,161,2,0,0,0,2,,,Stanford,College Stats,MillDa02
3,68,ATL,Jalen Mayfield,OL,21,2023,0,0,1,7,7,19,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,MayfJa00
3,69,CIN,Joseph Ossai,LB,21,2023,0,0,0,4,4,30,0,0,0,0,0,0,0,0,0,0,0,12,,4.5,Texas,College Stats,OssaJo00
3,70,CAR,Brady Christensen,OL,24,2023,0,0,1,10,10,34,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU,College Stats,ChriBr00
3,71,NYG,Aaron Robinson,DB,23,2022,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,21,,,Central Florida,College Stats,RobiAa00
3,72,DET,Alim McNeill,DT,21,2023,0,0,1,13,13,47,0,0,0,0,0,0,0,0,0,0,0,49,,8.0,North Carolina St.,College Stats,McNeAl00
3,73,PHI,Milton Williams,DL,22,2023,0,0,0,7,7,50,0,0,0,0,0,0,0,0,0,0,0,55,,6.5,Louisiana Tech,College Stats,WillMi08
3,74,WAS,Benjamin St-Juste,DB,23,2023,0,0,1,9,9,37,0,0,0,0,0,0,0,0,0,0,0,106,1,3.0,Minnesota,College Stats,StJuBe00
3,75,DAL,Osa Odighizuwa,DL,23,2023,0,0,2,21,21,50,0,0,0,0,0,0,0,0,0,0,0,74,,9.0,UCLA,College Stats,OdigOs00
3,76,NOR,Paulson Adebo,CB,22,2023,0,0,2,16,16,45,0,0,0,0,0,0,0,0,0,0,0,166,7,,Stanford,College Stats,AdebPa00
3,77,LAC,Josh Palmer,WR,21,2023,0,0,1,13,13,43,0,0,0,0,0,3,16,0,143,1703,9,2,,,Tennessee,College Stats,PalmJo00
3,78,MIN,Chazz Surratt,LB,24,2023,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,7,,,North Carolina,College Stats,SurrCh00
3,79,LVR,Malcolm Koonce,DE,23,2023,0,0,0,7,7,39,0,0,0,0,0,0,0,0,0,0,0,40,,10.0,Buffalo,College Stats,KoonMa00
3,80,LVR,Divine Deablo,DB,23,2023,0,0,0,14,14,40,0,0,0,0,0,0,0,0,0,0,0,131,,1.0,Virginia Tech,College Stats,DeabDi00
3,81,MIA,Hunter Long,TE,23,2023,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,8,0,1,,,Boston Col.,College Stats,LongHu00
3,82,WAS,Dyami Brown,WR,21,2023,0,0,0,3,3,47,1,1,4,0,0,3,11,0,29,476,3,4,,,North Carolina,College Stats,BrowDy00
3,83,CAR,Tommy Tremble,TE,21,2023,0,0,1,4,4,49,0,0,0,0,0,3,11,1,62,548,7,7,,,Notre Dame,College Stats,TremTo00
3,84,DAL,Chauncey Golston,DL,23,2023,0,0,0,6,6,47,0,0,0,0,0,0,0,0,0,0,0,38,,3.5,Iowa,College Stats,GolsCh00
3,85,GNB,Amari Rodgers,WR,21,2023,0,0,0,2,1,35,0,0,0,0,0,3,18,0,20,249,1,3,,,Clemson,College Stats,RodgAm00
3,86,MIN,Wyatt Davis,OL,22,2022,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,DaviWy00
3,87,PIT,Kendrick Green,OL,22,2023,0,0,1,6,5,19,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,College Stats,GreeKe02
3,88,SFO,Trey Sermon,RB,22,2023,0,0,0,2,1,25,0,0,0,0,0,78,346,1,6,39,0,1,,,Ohio St.,College Stats,SermTr00
3,89,HOU,Nico Collins,WR,22,2023,0,0,0,18,18,39,0,0,0,0,0,1,7,0,150,2224,11,2,,,Michigan,College Stats,CollNi00
3,90,MIN,Patrick Jones II,DL,22,2023,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,42,,5.0,Pittsburgh,College Stats,JonePa00
3,91,CLE,Anthony Schwartz,WR,21,2022,0,0,0,2,2,25,0,0,0,0,0,10,96,1,14,186,1,3,,,Auburn,College Stats,SchwAn00
3,92,TEN,Monty Rice,LB,22,2023,0,0,0,6,6,35,0,0,0,0,0,0,0,0,0,0,0,70,,,Georgia,College Stats,RiceMo00
3,93,BUF,Spencer Brown,OL,23,2023,0,0,1,25,25,44,0,0,0,0,0,0,0,0,0,0,0,1,,,Northern Iowa,,BrowSp00
3,94,BAL,Ben Cleveland,OL,23,2023,0,0,0,5,5,37,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,ClevBe00
3,95,TAM,Robert Hainsey,OL,23,2023,0,0,1,14,14,43,0,0,0,0,0,0,0,0,0,-3,0,,,,Notre Dame,College Stats,HainRo00
3,96,NWE,Ronnie Perkins,DE,21,2023,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,9,,,Oklahoma,College Stats,PerkRo00
3,97,LAC,Tre' McKitty,TE,22,2023,0,0,0,1,1,34,0,0,0,0,0,0,0,0,16,117,0,2,,,Georgia,College Stats,McKiTr00
3,98,DEN,Quinn Meinerz,C,22,2023,0,0,1,14,14,45,0,0,0,0,0,0,0,0,0,0,0,1,,,Wisconsin–Whitewater,,MeinQu02
3,99,DAL,Nahshon Wright,DB,22,2023,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,27,1,,Oregon St.,College Stats,WrigNa00
3,100,TEN,Elijah Molden,DB,22,2023,0,0,0,7,7,33,0,0,0,0,0,0,0,0,0,0,0,94,2,,Washington,College Stats,MoldEl00
