Player,Rnd,College/Univ,offense_snaps,Tm,Rec,TD,PF,Att
Tyreek Hill,5,West Alabama,457,KAN,61,6,389.0,546.0
Rashard Higgins,5,Colorado St.,183,CLE,6,0,264.0,567.0
Jakeem Grant,6,Texas Tech,19,MIA,0,0,363.0,477.0
Cody Core,6,Mississippi,261,CIN,17,0,325.0,563.0
Mike Thomas,6,Southern Miss,104,LAR,3,0,224.0,536.0
Aaron Burbridge,6,Michigan St.,223,SFO,7,0,309.0,491.0
Demarcus Ayers,7,Houston,104,PIT,6,1,399.0,596.0
Daniel Braverman,7,Western Michigan,17,CHI,0,0,279.0,559.0
Charone Peake,7,Clemson,323,NYJ,19,0,275.0,550.0
Corey Davis,1,Western Michigan,629,TEN,34,0,334.0,496.0
Mike Williams,1,Clemson,235,LAC,11,0,355.0,583.0
John Ross,1,Washington,17,CIN,0,0,290.0,510.0
Zay Jones,2,East Carolina,846,BUF,27,2,302.0,476.0
Curtis Samuel,2,Ohio St.,225,CAR,15,0,363.0,501.0
JuJu Smith-Schuster,2,USC,775,PIT,58,7,406.0,590.0
Cooper Kupp,3,Eastern Washington,803,LAR,62,5,478.0,518.0
Taywan Taylor,3,Western Kentucky,260,TEN,16,1,334.0,496.0
ArDarius Stewart,3,Alabama,231,NYJ,6,0,298.0,510.0
Chris Godwin,3,Penn St.,446,TAM,34,1,335.0,605.0
Kenny Golladay,3,Northern Illinois,473,DET,28,3,410.0,570.0
Chad Williams,3,Grambling St.,98,ARI,3,0,295.0,598.0
Amara Darboh,3,Michigan,191,SEA,8,0,366.0,555.0
Dede Westbrook,4,Oklahoma,515,JAX,27,1,417.0,527.0
Josh Reynolds,4,Texas A&M,281,LAR,11,1,478.0,518.0
Mack Hollins,4,North Carolina,335,PHI,16,1,457.0,564.0
Josh Malone,4,Tennessee,247,CIN,6,1,290.0,510.0
Ryan Switzer,4,North Carolina,92,DAL,6,0,354.0,493.0
Jehu Chesson,4,Michigan,83,KAN,2,0,415.0,543.0
Chad Hansen,4,California,341,NYJ,9,0,298.0,510.0
Shelton Gibson,5,West Virginia,17,PHI,2,0,457.0,564.0
Isaiah McKenzie,5,Georgia,131,DEN,4,0,289.0,566.0
Trent Taylor,5,Louisiana Tech,494,SFO,43,2,331.0,607.0
Noah Brown,7,Ohio St.,161,DAL,4,0,354.0,493.0
D.J. Moore,1,Maryland,733,CAR,55,2,376.0,563.0
Calvin Ridley,1,Alabama,644,ATL,64,10,414.0,617.0
Courtland Sutton,2,SMU,819,DEN,42,4,329.0,588.0
Dante Pettis,2,Washington,452,SFO,27,5,342.0,532.0
Christian Kirk,2,Texas A&M,542,ARI,43,3,225.0,495.0
Anthony Miller,2,Memphis,615,CHI,33,7,421.0,512.0
James Washington,2,Oklahoma St.,526,PIT,16,1,428.0,689.0
DJ Chark,2,LSU,291,JAX,14,0,245.0,536.0
Michael Gallup,3,Colorado St.,844,DAL,33,2,339.0,527.0
Tre'Quan Smith,3,Central Florida,631,NOR,28,5,504.0,519.0
Keke Coutee,4,Texas Tech,328,HOU,28,1,402.0,506.0
Antonio Callaway,4,Florida,765,CLE,43,5,359.0,574.0
DaeSean Hamilton,4,Penn St.,471,DEN,30,2,329.0,588.0
J'Mon Moore,4,Missouri,74,GNB,2,0,376.0,640.0
Justin Watson,5,Pennsylvania,73,TAM,1,0,396.0,625.0
Marquez Valdes-Scantling,5,South Florida,691,GNB,38,2,376.0,640.0
Damion Ratley,6,Texas A&M,176,CLE,13,0,359.0,574.0
Ray-Ray McCloud,6,Clemson,121,BUF,5,0,269.0,499.0
Russell Gage,6,LSU,60,ATL,6,0,414.0,617.0
Equanimeous St. Brown,6,Notre Dame,358,GNB,21,0,376.0,640.0
Javon Wims,7,Georgia,30,CHI,4,0,421.0,512.0
Marcell Ateman,7,Oklahoma St.,370,OAK,15,1,290.0,556.0
Richie James,7,Middle Tenn. St.,192,SFO,9,1,342.0,532.0
Auden Tate,7,Florida St.,77,CIN,4,0,368.0,542.0
Trey Quinn,7,SMU,107,WAS,9,1,281.0,509.0
Marquise Brown,1,Oklahoma,643,BAL,46,7,531.0,440.0
N'Keal Harry,1,Arizona St.,261,NWE,12,2,420.0,620.0
Deebo Samuel,2,South Carolina,857,SFO,57,3,479.0,478.0
A.J. Brown,2,Mississippi,842,TEN,52,8,402.0,448.0
Mecole Hardman,2,Georgia,530,KAN,26,6,451.0,576.0
JJ Arcega-Whiteside,2,Stanford,498,PHI,10,1,385.0,613.0
Parris Campbell,2,Ohio St.,196,IND,18,1,361.0,513.0
Andy Isabella,2,Massachusetts,157,ARI,9,1,361.0,554.0
D.K. Metcalf,2,Mississippi,1038,SEA,58,7,405.0,517.0
Diontae Johnson,3,Toledo,652,PIT,59,5,289.0,510.0
Terry McLaurin,3,Ohio St.,764,WAS,58,7,266.0,479.0
Miles Boykin,3,Notre Dame,490,BAL,13,3,531.0,440.0
Riley Ridley,4,Georgia,108,CHI,6,0,280.0,580.0
Hunter Renfrow,5,Clemson,435,OAK,49,4,313.0,523.0
Darius Slayton,5,Auburn,701,NYG,48,8,341.0,607.0
KeeSean Johnson,6,Fresno St.,371,ARI,21,1,361.0,554.0
Travis Fulgham,6,Old Dominion,63,DET,0,0,341.0,571.0
Kelvin Harmon,6,North Carolina St.,482,WAS,30,0,266.0,479.0
Scott Miller,6,Bowling Green,176,TAM,13,1,458.0,630.0
